key,x,y,z,parent,theta
midpoint,775,2700,0,root,"[[0,180]]"
right_side,775,4000,0,midpoint,"[[0,180]]"
point_1,775,885,0,midpoint,"[[0,180]]"
galvo_up,1550,150,0,point_1,[0]
raman_up,1549,4106,0,right_side,[0]
raman_out,1549,4106,612,raman_up,[0]
raman_in,1432,4106.64,612.75,raman_out,[0]
galvo_back,1550,154.3,532,galvo_up,[0]
galvo_in,1412.5,154.3,533.5,galvo_back,[0]
shelf_back,1549,348,532,galvo_back,[0]
shelf_in,1465,348,617.5,shelf_back,[0]
ocean_back,1549,37.4,539.9,galvo_back,[0]
ocean_in,1430,37.4,539.9,ocean_back,[0]
